0,Success
1,Missing Ini File
2,Missing Ini Parameter
3,Improperly Decorated CMD Line Switch
4,Invalid CMD Line Switch Value
5,Cannot Connect To LDPC000A
6,LDPC000A Disconnected
7,Cannot Find Specified EVERset Profile
8,Cannot Open Specified EVERset Profile
9,Cannot Parse Specified EVERset Profile
10,Invalid Config Tool Specification
11,Invalid Operational Setting
12,Invalid Dimming Curve Option
13,Cannot Find Specified Catalog Number List
14,Failed to Open Catalog Number List
15,Cannot Identify Catalog Number of Read Driver
16,Configuration Inactivity Time Out
17,Improper Time Out for RFID WRITE
18,Attempted to Configure Incorrect Driver
19,Invalid Physical Interface
20,Missing CMD Line Value
21,Failed to Receive Successful Config Notification for Any Driver
22,Failed to Receive Successful Config Notification for All Drivers
23,Failed to Discover Drivers During MDC
24,Potential Dead Short Detected on MDC Bus
25,Cannot Parse Profile Data for Dimming Curve
26,Cannot Parse Data for Dim to Off Ctrl Voltage
27,Cannot Parse Data Dim Curve Modifier
28,Cannot Parse Data for Full Bright Ctrl Voltage
29,Cannot Parse Data for Initial Output Current
30,Cannot Parse Data for Lumen Compensation Period
31,Cannot Parse Data for Lumen Compensation Enabled
32,Cannot Parse Data for Max Design Current
33,Cannot Parse Data for Min Dim Ctrl Voltage
34,Cannot Parse Data for Min Dim Current
35,Cannot Parse Data for Num Driver Per Catalog Number
36,Cannot Parse Data for Output Current
37,Invalid Supplied Serial Number
38,Failed to Open and Parse INI File
39,Successfully Serialized MDC Driver
40,EVERset Profile NOT Specified
41,Driver Already Serialized
42,Calling Program Failed to Supply Serial Number
43,Cannot Connect To CPR30-USB
44,Attempted to Serialize Incorrect Driver
45,Unrecognized MDC Version Number
46,All MDC Command Space Slots Full
47,Failed to Write Serial Num Command
48,Calling Program Failed to Specify Catalog Number of Driver to be Serialized
49,MDC Command Space Completely Erased
50,Successfully Read Driver Via FEIG Tool
51,Specified Log File Directory Does Not Exist
52,Failed to Create Log File
53,Tag IC Disappeared During Read
54,Failed to Receive Reply From FEIG Tool
55,Failed to Place Restore to Factory Default CMD
56,Failed to Place Lock Tune Table CMD
57,Failed to Place Fuse Tune Table CMD
58,Cannot Find Data in Specified Profile
59,Cannot Parse Data for Programmable Start Temp
60,Cannot Parse Data for Programmable End Temp
61,Cannot Parse Data for Maximum Temperature Foldback
62,Cannot Identify CatalogID of Driver to be Configured
63,Insufficient Lumen Maintenance Data from Profile
64,Insufficient Difference Between I_OutMax and I_MinDim
65,Insufficient Difference Between I_OutInit and I_MinDim For Lumen Maintenance
66,Received Invalid FEIG Device Index
67,Received Invalid FEIG Device Handle
68,FEIG Reader/Writer Not Found in Scan List
69,Invalid Internal Status Code From FEIG Device
70,Invalid Outer Status Value From FEIG API Call
71,Could Not Rename Config Log File
72,Configuration Log Filename Supplied But Directory Was Not Supplied
73,Invalid Specified Exit Code List Filename
74,Cannot find Config Log Field List
75,Profile Exists but Cannot Be Opened
76,I_MaxTempFoldBack Cannot Be Less Than I_MinDim
77,Programmable Starting Temp is Greater Than Programmable Ending Temp
78,Programmable Temps Greater Than 90 Celcius
